Year,Pesticide Type,Usage
2022,Fungicides and Bactericides,280.42
1990,Fungicides and Bactericides,91.55
1991,Fungicides and Bactericides,97.26
1992,Fungicides and Bactericides,95.51
1993,Fungicides and Bactericides,118.76
1994,Fungicides and Bactericides,142.0
1995,Fungicides and Bactericides,126.79
1996,Fungicides and Bactericides,165.56
1997,Fungicides and Bactericides,203.13
1998,Fungicides and Bactericides,202.89
1999,Fungicides and Bactericides,209.62
2000,Fungicides and Bactericides,174.44
2001,Fungicides and Bactericides,270.01
2002,Fungicides and Bactericides,103.08
2003,Fungicides and Bactericides,66.24
2004,Fungicides and Bactericides,37.9
2005,Fungicides and Bactericides,68.46
2006,Fungicides and Bactericides,50.26
2007,Fungicides and Bactericides,60.78
2008,Fungicides and Bactericides,32.59
2009,Fungicides and Bactericides,13.04
2010,Fungicides and Bactericides,11.65
2011,Fungicides and Bactericides,19.32
2012,Fungicides and Bactericides,21.22
2013,Fungicides and Bactericides,14.91
2014,Fungicides and Bactericides,15.86
2015,Fungicides and Bactericides,23.83
2016,Fungicides and Bactericides,23.83
2017,Fungicides and Bactericides,23.83
2018,Fungicides and Bactericides,23.83
2019,Fungicides and Bactericides,23.83
2020,Fungicides and Bactericides,23.83
2021,Fungicides and Bactericides,23.83
2022,Fungicides and Bactericides,23.83
1990,Fungicides and Bactericides,3.0
1991,Fungicides and Bactericides,3.0
1992,Fungicides and Bactericides,3.0
1993,Fungicides and Bactericides,3.0
1994,Fungicides and Bactericides,2.0
1995,Fungicides and Bactericides,2.0
1996,Fungicides and Bactericides,2.0
1997,Fungicides and Bactericides,0.42
1998,Fungicides and Bactericides,1.0
1999,Fungicides and Bactericides,1.5
2000,Fungicides and Bactericides,0.45
2001,Fungicides and Bactericides,0.95
2002,Fungicides and Bactericides,0.0
2003,Fungicides and Bactericides,0.62
2004,Fungicides and Bactericides,0.96
2005,Fungicides and Bactericides,0.84
2006,Fungicides and Bactericides,1.12
2007,Fungicides and Bactericides,1.29
2008,Fungicides and Bactericides,1.19
2009,Fungicides and Bactericides,0.89
2010,Fungicides and Bactericides,0.55
2011,Fungicides and Bactericides,1.2
2012,Fungicides and Bactericides,1.52
2013,Fungicides and Bactericides,1.83
2014,Fungicides and Bactericides,2.15
2015,Fungicides and Bactericides,2.46
2016,Fungicides and Bactericides,2.78
2017,Fungicides and Bactericides,3.09
2018,Fungicides and Bactericides,3.41
2019,Fungicides and Bactericides,12.32
2020,Fungicides and Bactericides,7.42
2021,Fungicides and Bactericides,2.88
2022,Fungicides and Bactericides,1.4
1990,Fungicides and Bactericides,276.0
1991,Fungicides and Bactericides,260.0
1992,Fungicides and Bactericides,312.0
1993,Fungicides and Bactericides,329.0
1994,Fungicides and Bactericides,402.0
1995,Fungicides and Bactericides,475.0
1996,Fungicides and Bactericides,550.0
