Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"China, mainland",144459.51,144459.51,150858.55,159466.09000000003,184722.44999999998,205184.22,215339.62000000002,225664.88999999998,232498.08000000002,249467.78999999998,241520.91,240633.74000000002,247523.55,250147.34,261624.05,275573.56,290145.99,306322.89,315666.60000000003,322594.16000000003,331881.25,337317.58999999997,340922.95,341224.97,340394.41,336562.56,328540.17,312419.89,283822.47000000003,262700.0,247844.44,233876.05000000002,224716.93
Colombia,18058.29,16817.0,15305.94,14961.81,17051.34,20156.23,18080.62,16005.0,60687.0,66088.0,75843.0,85515.29999999999,84023.26,88772.15,105514.19,117881.44999999998,98328.63,82439.06,48538.97,51435.13,48618.46,53797.0,48727.73,54563.38,73744.34,33689.3,32392.0,37699.0,37773.0,69862.0,36711.0,39324.0,78230.75
Comoros,13.73,13.73,13.73,13.73,13.73,17.72,19.619999999999997,19.44,15.09,12.66,11.8,11.1,8.36,5.49,2.61,2.37,4.94,8.25,14.96,19.689999999999998,25.39,25.37,20.41,16.169999999999998,9.620000000000001,15.02,15.690000000000001,20.669999999999998,21.22,26.19,33.17,37.410000000000004,39.53
Congo,40.910000000000004,47.9,65.36,104.41999999999999,156.45,204.98000000000002,238.89,259.86,280.83,301.78000000000003,322.75,343.72,364.70000000000005,385.65000000000003,406.62,427.59000000000003,448.56,424.38,462.82,480.21000000000004,598.78,652.53,769.99,858.06,802.96,691.46,499.65,463.12,471.08,579.28,724.1999999999999,831.39,884.99
Cook Islands,9.98,9.98,9.97,12.23,14.99,15.67,13.23,9.42,10.559999999999999,12.45,15.129999999999999,15.92,18.380000000000003,20.42,20.75,19.89,19.89,20.38,20.19,17.400000000000002,15.66,14.209999999999999,14.96,14.950000000000001,14.950000000000001,14.950000000000001,14.950000000000001,14.950000000000001,14.950000000000001,14.950000000000001,14.950000000000001,14.950000000000001,14.950000000000001
Costa Rica,1447.15,1447.15,1447.15,1447.15,1475.1299999999999,1503.12,2747.79,4104.66,7898.0,11090.5,14283.0,10704.0,11044.44,11384.84,11725.29,12065.72,12406.13,12746.56,13317.0,12306.67,14241.44,12810.85,12575.2,12339.56,12103.91,11868.26,11632.619999999999,11396.98,10284.52,11866.609999999999,11842.31,9172.33,9127.85
Croatia,,,2304.0,2675.3199999999997,3046.6800000000003,3418.0,3148.0,3041.6400000000003,2935.27,2828.9100000000003,2722.53,2616.17,2509.8,2403.44,2297.06,2183.96,2213.84,2079.22,2452.61,2134.99,1605.37,1682.3100000000002,1759.27,2006.44,2119.05,2310.94,1861.2,1577.4,1697.66,1563.81,1655.09,1469.65,1507.67
Cuba,4188.73,4188.73,4188.72,4188.72,4188.7300000000005,4188.72,4188.73,4188.7300000000005,4188.74,3874.5099999999998,3656.65,3456.23,3118.26,2979.76,3115.17,3539.46,3685.43,3557.6299999999997,3610.3,3662.95,3715.62,3768.29,3820.9500000000003,3873.6099999999997,3926.27,3978.95,3549.18,3111.54,2656.3500000000004,2666.02,2666.02,2666.02,2666.0299999999997
Cyprus,2184.5099999999998,1970.7099999999998,1695.53,2044.07,2518.2,2030.77,2417.19,2224.0899999999997,1731.14,1238.17,745.22,864.51,1060.57,796.44,717.29,678.16,861.02,534.88,477.76,728.61,632.48,1324.6299999999999,1266.22,1249.1100000000001,1216.46,1056.71,1141.74,1162.69,1183.6100000000001,1230.77,1190.58,1104.01,1009.8
Czechia,,,,3545.1,3593.15,3757.2,3631.1,4085.0299999999997,4351.03,4242.02,4533.04,4649.12,4977.62,4590.0,5318.4400000000005,5384.76,5693.110000000001,6194.49,5440.0,4759.9,4957.4,5306.06,5345.4,6188.57,5663.38,6310.84,5942.72,5248.37,5178.120000000001,5052.76,4359.75,4479.83,5542.76
